Series Name,Series Code,Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Afghanistan,AFG,..,..,..,0.4,0.4,0.4,0.1,0.1,0.1,0.1,3.6,3.6,3.6,3.6,3.6
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Albania,ALB,..,..,..,10.1,2.1,2.6,17.2,17.7,17.7,18.6,18.6,18.6,18.6,18.6,23.6
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Algeria,DZA,..,..,..,7.5,7.5,7.5,7.5,7.5,7.5,7.5,4.6,4.6,4.6,4.6,4.7
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,American Samoa,ASM,..,..,..,2.9,4,4,15.8,15.8,15.8,15.8,0.8,15.8,15.8,16.7,16.4
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Andorra,AND,..,..,..,9.2,18.2,21.1,21.1,26.7,26.7,26.7,26.7,26.9,26.9,26.9,27.3
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Angola,AGO,..,..,..,12.4,7,7,7,7,7,7,7,7,7,10.7,10.8
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Antigua and Barbuda,ATG,..,..,..,10,19.3,19.3,19.3,18.6,18.6,18.6,21,19.9,19.9,19.9,16.5
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Argentina,ARG,..,..,..,6.8,8.6,8.7,8.9,8.9,8.5,8.5,8.5,8.5,8.7,8.7,8.8
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Armenia,ARM,..,..,..,23.3,23.1,23.1,23.1,23.1,23.1,24.3,24.3,24.3,24.7,24.7,38.9
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Aruba,ABW,..,..,..,0.5,0.5,0.5,0.5,18.9,18.9,18.9,18.9,18.9,18.9,18.9,19.7
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Australia,AUS,..,..,..,12.9,14.6,14.7,17,19.3,19.3,19.4,20.3,20.4,20.4,20.4,22
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Austria,AUT,..,..,..,24,28.3,28.4,27.6,28.4,28.4,28.4,29.1,29.3,29.5,29.5,29.6
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Azerbaijan,AZE,..,..,..,11.8,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,22.1
